Name,Gen,Description
Favored Mail,V,Stationary designed for writing about your favorite things. To be held by a Pokémon for delivery.
F-Disk,III,Moves the UFO inThe Underto theUnder Colosseum.
Feather Ball,VIII,A type of Poké Ball that catches flying and farther away Pokémon more easily.
Festival Ticket,VII,A ticket that allows you to host a mission in Festival Plaza.
Fiery Pick,IX,One of the picks the player can use to make asandwich.
Fighting Gem,V,"Increases the power of the holder's firstFighting-typemove by 50%, and is consumed after use."
Fighting Memory,VII,MakesSilvallyaFighting-typePokémon and makesMulti-Attacka Fighting-type move.
Fighting Tera Shard,IX,Used to change theTera Typeof a Pokémon toFightingtype.
Fightinium Z,VII,Allows a Pokémon to upgrade theirFighting-typedamaging moves to theZ-MoveAll-Out Pummelingor upgrade their Fighting-type status moves into Z-Moves. MakesArceusa Fighting-type Pokémon.
Figy Berry,III,"WhenHPfalls below 25%, restores 50% HP, but confuses Pokémon that dislikespicyfood (12.5% when below 50% beforeGen. VII)."
Fine Remedy,VIII,"Heals a Pokémon by 100HP, but lowers itfriendship."
Fire Gem,V,"Increases the power of the holder's firstFire-typemove by 50%, and is consumed after use."
Fire Memory,VII,MakesSilvallyaFire-typePokémon and makesMulti-Attacka Fire-type move.
Fire Pattern Cup,IX,One of the cups the player can use during apicnic.
Fire Stone,I,"Can be used to evolveVulpix,Growlithe,Eevee, andPansear."
Fire Tera Shard,IX,Used to change theTera Typeof a Pokémon toFiretype.
Firium Z,VII,Allows a Pokémon to upgrade theirFire-typedamaging moves to theZ-MoveInferno Overdriveor upgrade their Fire-type status moves into Z-Moves. MakesArceusa Fire-type Pokémon.
Fishing Rod,VII,Allows the player tofishnear underwater piles of rock.
Fist Plate,IV,Raises the power ofFighting-typemoves. Changes the moveJudgmenttoFighting-type.
Flame Mail,IV,Mail with a fire design. To be held by a Pokémon for delivery.
Flame Orb,IV,Inflicts aburnon the holder.
Flame Plate,IV,Raises the power ofFire-typemoves. Changes the moveJudgmenttoFire-type.
Float Stone,V,Halves the weight of the holder.
Flower Mail,II,Mail with a flower pattern. To be held by a Pokémon for delivery.
Flower Pattern Cup,IX,One of the cups the player can use during apicnic.
Flower Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Flower Sweet decoration.
Fluffy Tail,III,Allows the player to flee from any wild Pokémon battle.
Flying Gem,V,"Increases the power of the holder's firstFlying-typemove by 50%, and is consumed after use."
Flying Memory,VII,MakesSilvallyaFlying-typePokémon and makesMulti-Attacka Flying-type move.
Flying Tera Shard,IX,Used to change theTera Typeof a Pokémon toFlyingtype.
Flyinium Z,VII,Allows a Pokémon to upgrade theirFlying-typedamaging moves to theZ-MoveSupersonic Skystrikeor upgrade their Flying-type status moves into Z-Moves. MakesArceusa Flying-type Pokémon.
Focus Band,II,May leave the holder with 1 HP when a move would normally cause them to faint.
Focus Sash,IV,Prevents a one-hit knockout.
Forage Bag,VII,Holds ingredients found duringMallow's trial.
Forest Balm,VIII,Can be used to calm frenziedKleavor.
Fossilized Bird,VIII,A componentFossilof the Fossil Pokémon inGalar.
Fossilized Dino,VIII,A componentFossilof the Fossil Pokémon inGalar.
Fossilized Drake,VIII,A componentFossilof the Fossil Pokémon inGalar.
Fossilized Fish,VIII,A componentFossilof the Fossil Pokémon inGalar.
Fresh-Start Mochi,IX,Resets all of a Pokémon's base points to zero.
Fresh Cream,VIII,Ingredient forcurry.
Fresh Water,I,Restores 30 HP. (50HP beforeGen. VII).
Fried Fillet,IX,An ingredient forsandwiches.
Fried Food,VIII,Ingredient forcurry.
Friend Ball,II,A type of Poké Ball that causes the Pokémon to become friendly.
Fruit Bunch,VIII,Ingredient forcurry.
Full Heal,I,Cures anystatus condition.
Full Incense,IV,Causes holder to move slower than the opponent. ASnorlaxholding it can breed to produceMunchlax.
Full Restore,I,Fully restores all HP and cures all status problems of a Pokémon.
Galactic Key,IV,Allows player to access theGalactic HQinVeilstone City.
Galarica Cuff,VIII,AllowsGalarianSlowpoketo evolve into GalarianSlowbro.
Galarica Twig,VIII,Can be exchanged toNPC's forGalarianSlowpoke's evolution items.
Galarica Wreath,VIII,AllowsGalarianSlowpoketo evolve into GalarianSlowking.
Galladite,VI,AllowsGalladetoMega Evolveinto Mega Gallade.
Ganlon Berry,III,RaisesDefenseif HP is below ⅓ of maximum.
Garchompite,VI,AllowsGarchomptoMega Evolveinto Mega Garchomp.
Gardevoirite,VI,AllowsGardevoirtoMega Evolveinto Mega Gardevoir.
Gastly Candy,VII,Increase all stats of a member of theGastlyfamily by oneAVpoint.
GB Sounds,IV,Allows player to listen to 8-bit background music inJohto.
Gear,III,Keeps thePyrite Towngenerators going.
Gengarite,VI,AllowsGengartoMega Evolveinto Mega Gengar.
Genius Feather,V,Raises theSpecial Attackof a Pokémon.Note:Known asGenius Wingprior to Generation VIII.
Genius Mochi,IX,Increases a Pokémon'sSp. AtkEVsby 10.
Genome Slate,VIII,Allows the player to fightMewtwoin the Genome Room.
Gentle Mint,VIII,Changes a Pokémon'sNatureto Gentle.
Geodude Candy,VII,Increase all stats of a member of theGeodudefamily by oneAVpoint.
Ghost Gem,V,"Increases the power of the holder's firstGhost-typemove by 50%, and is consumed after use."
Ghost Memory,VII,MakesSilvallyaGhost-typePokémon and makesMulti-Attacka Ghost-type move.
Ghost Tera Shard,IX,Used to change theTera Typeof a Pokémon toGhosttype.
Ghostium Z,VII,Allows a Pokémon to upgrade theirGhost-typedamaging moves to theZ-MoveNever-Ending Nightmareor upgrade their Ghost-type status moves into Z-Moves. MakesArceusa Ghost-type Pokémon.
Gigantamix,VIII,Ingredient forcurry.
Gigaton Ball,VIII,"A type of Poké Ball that falls at a very short distance, but catches Pokémon who have not notices the player at an even higher rate."
Ginema Berry,III,"Raises a lowered stat in battle. If transferred toGeneration IVviaPal Park, it will turn into anEnigma Berry."
Glalitite,VI,AllowsGlalietoMega Evolveinto Mega Glalie.
Glastrier Treat,IX,Allows theplayerto encounterGlastrierin theTerarium.
Glimmering Charm,IX,Increases the amount ofTera Shardsreceived fromTera Raid Battles.
Glitter Mail,III,Mail with aPikachupattern.
Go-Goggles,III,"A Key Item that allows the player to travel insandstormconditions. Unnecessary inGenerationsIVandV, as the player may enter sandstorm conditions without protection."
God Stone,V,Not available without cheating. Currently has no use.
Gold Berry,II,Restores 30 HP.
Gold Bottle,IX,One of the water bottles the player can use during apicnic.
Gold Bottle Cap,VII,Can be traded toMr. Hyperto maximize all of a Pokémon'sIVsinHyper Training.
Gold Cup,IX,One of the cups the player can use during apicnic.
Gold Leaf,II,Can be sold for$1000GSC/$500PE.
Gold Pick,IX,One of the picks the player can use to make asandwich.
Gold Teeth,I,Safari Zone Warden's false teeth. Return forHM04(Strength)
Goldeen Candy,VII,Increase all stats of a member of theGoldeenfamily by oneAVpoint.
Gonzap's Key,III,Opens an item box containingTM30(Shadow Ball).
Golden Nanab Berry,VII,Makes awild Pokémonless likely to move and the target ring shrink slower.
Golden Pinap Berry,VII,Increases theberriesandcandiesdropped by awild Pokémonafter capture.
Golden Razz Berry,VII,Increases awild Pokémon'scatch rate.
Good Rod,I,Allows the player to fish for medium-level aquatic Pokémon.
Gooey Mulch,IV,Increases the number of times newBerryplants can grow where old ones withered.
Gorgeous Box,II,Sometimes held by a reward Pokémon fromPokémon Stadiumif traded toGeneration II.
Gracidea,IV,AllowsShaymintochange form.
Grain Cake,VIII,Used to attract certain Pokémon.
Gram 1,V,An important letter which Wingull delivers.
Gram 2,V,An important letter which Wingull delivers.
Gram 3,V,An important letter which Wingull delivers.
Grass Gem,V,"Increases the power of the holder's firstGrass-typemove by 50%, and is consumed after use."
Grass Memory,VII,MakesSilvallyaGrass-typePokémon and makesMulti-Attacka Grass-type move.
Grass Tera Shard,IX,Used to change theTera Typeof a Pokémon toGrasstype.
Grassium Z,VII,Allows a Pokémon to upgrade theirGrass-typedamaging moves to theZ-MoveBloom Doomor upgrade their Grass-type status moves into Z-Moves. MakesArceusa Grass-type Pokémon.
Grass Mail,IV,Mail with a grass pattern. To be held by a Pokémon for delivery.
Grassy Seed,VII,A one-time use item that raises the holder'sDefenseby one stage upon activation ofGrassy Terrain.
Great Ball,I,A moderately good type of Poké Ball.
Great Ball,VIII,A moderately good type of Poké Ball. Only craftable inHisui.
Green Apricorn,II,Kurtwill make the player aFriend Ballout of it.Note:Formatted asGrn Apricornprior to Generation VI.
Green Bell Pepper,IX,An ingredient forsandwiches.
Green Dish,IX,One of the dishes the player can use to make asandwichon.
Green Petal,VII,A green petal required to complete Mina's Trial.
Green Poké Ball Pick,IX,One of the picks the player can use to make asandwich.
Green Scarf,III,Raises theClevercondition.
Green Shard,III,Exchangeable for a variety of services.
Greet Mail,V,Stationary for introductory greetings. To be held by a Pokémon for delivery.
Grepa Berry,III,"Raises friendship, but lowersSpecial DefenseEVs."
Grimer Candy,VII,Increase all stats of a member of theGrimerfamily by oneAVpoint.
Grip Claw,IV,"Causes trapping moves (e.g.Bind,Wrap) to last for five turns."
Grit Dust,VIII,Raises a Pokémon'seffort levelfor one of its stats up to level 3.
Grit Gravel,VIII,Raises a Pokémon'seffort levelfor one of its stats starting at level 3 up to level 5.
Grit Pebble,VIII,Raises a Pokémon'seffort levelfor one of its stats starting at level 6 up to level 8.
Grit Rock,VIII,Raises a Pokémon'seffort levelfor one of its stats starting at level 9 up to level 10.
Griseous Core,VIII,SwitchesGiratinabetween itsAltered and Origin Forme.
Griseous Orb,IV,"Raises the power ofGiratina'sGhost- andDragon-typemoves, and causes it to take on itsOrigin Forme."
Grn ID Badge,III,One of four keys needed to unlock the north door ofRealgam Tower.
Groudon Treat,IX,Allows theplayerto encounterGroudonin theTerarium.
Ground Gem,V,"Increases the power of the holder's firstGround-typemove by 50%, and is consumed after use."
Ground Memory,VII,MakesSilvallyaGround-typePokémon and makesMulti-Attacka Ground-type move.
Ground Tera Shard,IX,Used to change theTera Typeof a Pokémon toGroundtype.
Groundium Z,VII,Allows a Pokémon to upgrade theirGround-typedamaging moves to theZ-MoveTectonic Rageor upgrade their Ground-type status moves into Z-Moves. MakesArceusa Ground-type Pokémon.
Growlithe Candy,VII,Increase all stats of a member of theGrowlithefamily by oneAVpoint.
Growth Mulch,IV,"CausesBerriesto grow faster, but makes the soil dry faster."
Grubby Hanky,V,Can be exchanged for aFluffy Tailat Café Warehouse.
GS Ball,II,AllowsCelebito be caught inPokémon Crystal.
Guard Spec.,I,Temporarily prevents stat reduction.
Guidebook,IV,Keeps track of events and accomplishments of theplayer. Known asJournalprior toPokémon Brilliant Diamond and Shining Pearl.
Gyaradosite,VI,AllowsGyaradostoMega Evolveinto Mega Gyarados.
Haban Berry,IV,Halves the power ofsuper effectiveDragon-typemoves.
Ham,IX,An ingredient forsandwiches.
Hamburger,IX,An ingredient forsandwiches.
Harbor Mail,III,Mail with a nautical design. To be held by a Pokémon for delivery.
Hard Stone,II,Raises the power ofRock-typemoves.
Hasty Mint,VIII,Changes a Pokémon'sNatureto Hasty.
Heal Ball,IV,"A type of Poké Ball that heals the captured Pokémon before it is put in the player's party. If the player's party is full, it will be transferred to the Box, where it would have been healed anyway."
Heal Powder,II,"Heals anystatus condition, but lowers friendship."
Health Candy,VII,Increase a Pokémon'sHPby 1AVuntil it has reached 50AV's in the stat.
Health Candy L,VII,Increase alevel30+ Pokémon'sHPby 1AVuntil it has reached 100AV's in the stat.
Health Candy XL,VII,Increase alevel60+ Pokémon'sHPby 1AVuntil it has reached 200AV's in the stat.
Health Feather,V,Raises theHPof a Pokémon.Note:Known asHealth Wingprior to Generation VIII.
Health Mochi,IX,Increases a Pokémon'sHPEVsby 10.
Heart Mail,IV,Mail with a heart pattern. To be held by a Pokémon for delivery.
Heart Scale,III,Exchangeable for a variety of services.
Hearthflame Mask,IX,ChangesOgerponinto itsHearthflame Mask formwhen held. It increases thepowerof its moves by 20%.
Hearty Grains,VIII,Used to craftGrain CakesinHisuiand bait certain Pokémon.
Heat Rock,IV,Extends the duration ofharsh sunlight.
Heavy Ball,II,A type of Poké Ball that works better on heavier Pokémon.
Heavy Ball,VIII,"A type of Poké Ball that falls at a very short distance, but catches Pokémon who have not notices the player at a high rate."
Heavy-Duty Boots,VIII,The holder is unaffected byentry hazards.
Helix Fossil,I,A Fossil from which anOmanytecan be resurrected.
Heracronite,VI,AllowsHeracrosstoMega Evolveinto Mega Heracross.
Herbed Sausage,IX,An ingredient forsandwiches.
Heroic Sword Pick,IX,One of the picks the player can use to make asandwich.
Hi-tech Earbuds,VIII,"Allows theplayerto alter the volume of background music, sound effects and Pokémoncries."
Hitmonchan Candy,VII,Increase all stats of a member of theHitmonchanfamily by oneAVpoint.
Hitmonlee Candy,VII,Increase all stats of a member of theHitmonleefamily by oneAVpoint.
HMs,I,Can be used to teach afield moveto a Pokémon. HMs will not break up after use and as such can be used over and over again.
Holo Caster,VI,Allows the player to view hologram clips and communicate with others.
Hometown Muffin,VIII,"Used to complete the request ""The Taste of Home""."
Hondew Berry,III,"LowersSpecial AttackEV, but raises friendship."
Honey,IV,Can be slathered on orange trees to attract rare Pokémon; or used in grass to attract wild Pokémon the same waySweet Scentdoes.
Honey Cake,VIII,Used to attract certain Pokémon.
Honor of Kalos,VI,Proof of defeatingTeam Flareand becomingChampionof theKalos Pokémon League.
Ho-Oh Treat,IX,Allows theplayerto encounterHo-Ohin theTerarium.
Hopo Berry,VIII,Restores 10 PP of one of a Pokémon's moves. Dulls the reaction ofwild Pokémon.
Horsea Candy,VII,Increase all stats of a member of theHorseafamily by oneAVpoint.
Horseradish,IX,An ingredient forsandwiches.
Houndoominite,VI,AllowsHoundoomtoMega Evolveinto Mega Houndoom.
HP Up,I,Raises theHPof a Pokémon.
Hyper Potion,I,Restores 120 HP. (200HP beforeGen. VII).
Iapapa Berry,III,"WhenHPfalls below 25%, restores 50% HP, but confuses Pokémon that dislikesourfood (12.5% when below 50% beforeGen. VII)."
Ice Berry,II,Heals aburn.
Ice Gem,V,"Increases the power of the holder's firstIce-typemove by 50%, and is consumed after use."
Ice Heal,I,Thaws out afrozenPokémon.
Ice Memory,VII,MakesSilvallyaIce-typePokémon and makesMulti-Attackan Ice-type move.
Ice Stone,VII,Can be used to evolveAlolanSandshrewand AlolanVulpix.
Ice Tera Shard,IX,Used to change theTera Typeof a Pokémon toIcetype.
Iceroot Carrot,VIII,Allows theplayerto summonGlastrierat theCrown Shrine.
Icicle Plate,IV,Raises the power ofIce-typemoves. Changes the moveJudgmenttoIce-type.
Icium Z,VII,Allows a Pokémon to upgrade theirIce-typedamaging moves to theZ-MoveSubzero Slammeror upgrade their Ice-type status moves into Z-Moves. MakesArceusan Ice-type Pokémon.
Icy Rock,IV,Extends the duration ofhail.
ID Card,III,Permits access to a restricted elevator at theCipher Lab.
Ilima's Normalium Z,VII,Allows a one-timerematchwith theTotem PokémonofVerdant Cavern.
Impish Mint,VIII,Changes a Pokémon'sNatureto Impish.
Incinium Z,VII,AllowsIncineroarto upgradeDarkest Lariatto the specialZ-MoveMalicious Moonsault.
Indigo Disk,IX,Gives theplayermoreclothingand hair style options in certain stores and salons.
Indigo Style Card,IX,Gives theplayermoreclothingand hair style options in certain stores and salons.
Inquiry Mail,V,Stationary for writing questions. To be held by a Pokémon for delivery.
Insect Plate,IV,Raises the power ofBug-typemoves. Changes the moveJudgmenttoBug-type.
Instant Noodles,VIII,Ingredient forcurry.
Intriguing Stone,VI,Can be exchanged for aSun StoneXY/PidgeotiteORAS.
Iron,I,Raises theDefenseof a Pokémon.
Iron Ball,IV,Cuts a Pokémon'sSpeedand makes it susceptible toGround-typemoves.
Iron Barktongue,VIII,Used to craftAux GuardinHisui.
Iron Chunk,VIII,Used to craftPoké BallsinHisui.
Iron Plate,IV,Raises the power ofSteel-typemoves. Changes the moveJudgmenttoSteel-type.
Item Drop,V,Causes an ally to drop its held item. Wonder Launcher only.
Item Urge,V,Causes an ally to use its held item. Wonder Launcher only.
Jaboca Berry,IV,"If the foe'sphysical movehits, then the foe will also take damage."
Jade Orb,IV,Allows the player to encounterRayquazain theEmbedded Tower.
Jail Key,III,The key to jail cells inPyrite Town.
Jalapeño,IX,An ingredient forsandwiches.
Jam,IX,An ingredient forsandwiches.
Jaw Fossil,VI,A Fossil from which aTyruntcan be resurrected.
Jet Ball,VIII,A type of Poké Ball that catches flying and farther away Pokémon more easily and at a greatly improved rate. Travels in a straight line when thrown.
Jigglypuff Candy,VII,Increase all stats of a member of theJigglypufffamily by oneAVpoint.
Johto Slate,VIII,Allows the player to fight theLegendary beastsin the Johto Room.
Jolly Mint,VIII,Changes a Pokémon'sNatureto Jolly.
Joy Scent,III,"Reduces heart gauge by a small amount, but increases friendship."
Jubilife Muffin,VIII,Can be used to cure a Pokémon of all non-volatile status conditions.
Jynx Candy,VII,Increase all stats of a member of theJynxfamily by oneAVpoint.
Kabuto Candy,VII,Increase all stats of a member of theKabutofamily by oneAVpoint.
Kangaskhan Candy,VII,Increase all stats of a member of theKangaskhanfamily by oneAVpoint.
Kangaskhanite,VI,AllowsKangaskhantoMega Evolveinto Mega Kangaskhan.
Kanto Slate,VIII,Allows the player to fight thelegendary birdsin the Kanto Room.
Kasib Berry,IV,Lowers effectiveness of asuper effectiveGhost-typemove.
Kebia Berry,IV,Lowers effectiveness of asuper effectivePoison-typemove.
Kee Berry,VI,IncreasesDefensewhen hit with aphysical move.
Kelpsy Berry,III,"Raises friendship, but lowersAttackEV."
Ketchup,IX,An ingredient forsandwiches.
Key Stone,VI,Allows the player toMega Evolvetheir Pokémon if they hold the appropriateMega Stone.
Key to Room 1,VI,Opens Room 1 of theAbandoned ShipRSE/Sea MauvilleORAS.Note:CalledRm. 1 KeyinGeneration III.
Key to Room 2,VI,Opens Room 2 of theAbandoned ShipRSE/Sea MauvilleORAS.Note:CalledRm. 2 KeyinGeneration III.
Key to Room 4,VI,Opens Room 4 of theAbandoned ShipRSE/Sea MauvilleORAS.Note:CalledRm. 4 KeyinGeneration III.
Key to Room 6,VI,Opens Room 6 of theAbandoned ShipRSE/Sea MauvilleORAS.Note:CalledRm. 6 KeyinGeneration III.
King's Leaf,VIII,Used to craft items inHisui.
King's Rock,II,Slightly increases the chances of inflicting theFlinchcondition on the opponent. AllowsSlowpokeandPoliwhirlto evolve when traded.
Kiwi,IX,An ingredient forsandwiches.
Klawf Stick,IX,An ingredient forsandwiches.
Koffing Candy,VII,Increase all stats of a member of theKoffingfamily by oneAVpoint.
Kofu's Wallet,IX,Given toKofuin thePorto Marinadaauction market as part of theCascarrafa GymTest.
Kommonium Z,VII,AllowsKommo-oto upgradeClanging Scalesto the specialZ-MoveClangorous Soulblaze.
Koraidon's Poké Ball,IX,Allows the player to call uponKoraidonto help them in various ways.
Krabby Candy,VII,Increase all stats of a member of theKrabbyfamily by oneAVpoint.
Krane Memo 1,III,Contains information aboutsnagging.
Krane Memo 2,III,Contains information about theAura Reader.
Krane Memo 3,III,Contains information about theSnag Machine.
Krane Memo 4,III,Contains information aboutpurification.
Krane Memo 5,III,Contains information about thePurify Chamber.
Kubfu Treat,IX,Allows theplayerto encounterKubfuin theTerarium.
Kuo Berry,III,"CuresBurnstatus. If transferred toGeneration IVviaPal Park, it will turn into anEnigma Berry."
Kyogre Treat,IX,Allows theplayerto encounterKyogrein theTerarium.
Kyurem Treat,IX,Allows theplayerto encounterKyuremin theTerarium.
Lagging Tail,IV,Causes the holder to move after the opponent.
Lansat Berry,III,Raises critical-hit ratio if HP is below ⅓ of maximum.
Lapras Candy,VII,Increase all stats of a member of theLaprasfamily by oneAVpoint.
Large Leek,VIII,Ingredient forcurry.
Latiasite,VI,AllowsLatiastoMega Evolveinto Mega Latias.
Latias Treat,IX,Allows theplayerto encounterLatiasin theTerarium.
Latiosite,VI,AllowsLatiostoMega Evolveinto Mega Latios.
Latios Treat,IX,Allows theplayerto encounterLatiosin theTerarium.
Lava Cookie,III,Cures anystatus condition.
Lax Incense,III,Lowers the foe's accuracy. AWobbuffetholding it can breed to produce aWynaut.
Lax Mint,VIII,Changes a Pokémon'sNatureto Lax.
L-Disk,III,Moves the UFO inThe Underto theAmulet Coin.
Leaden Ball,VIII,"A type of Poké Ball that falls at a very short distance, but catches Pokémon who have not notices the player at a higher rate."
Leader's Crest,IX,Used to evolveBisharpintoKingambit.
Leaf Letter,VII,Gift frompartnerEevee.
Leaf Letter,VII,Gift frompartnerPikachu.
Leaf Stone,I,"Can be used to evolveGloomintoVileplume,WeepinbellintoVictreebel,ExeggcuteintoExeggutor,NuzleafintoShiftry, andPansageintoSimisage."
Leafy Chairs,IX,One of the chair sets the player can use during apicnic.
Leafy Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Leek,II,RaisesFarfetch'd'scritical hitratio.Note:Known as Stick prior toGeneration VIII.
Left Poké Ball,VII,Give to an NPC in exchange for aMental Herb.
Leftovers,II,Heals a little HP at the end of each turn.
Legend Plate,VIII,ChangesArceustoNormal-typeand changesJudgment's type based on what is most effective against the selected Pokémon's type.
Legendary Clue 1,VIII,Tells the player more aboutCalyrex.
Legendary Clue 2,VIII,Tells the player more about thelegendary giants.
Legendary Clue 3,VIII,Tells the player more about theGalarianlegendary birds.
Legendary Clue?,VIII,Tells the player more about theUltra Wormhole.
Lemonade,I,Restores 70 HP. (80HP beforeGen. VII)
Lens Case,VI,Stores colored contact lenses that allow the player to change their eye color.
Leppa Berry,III,Restores 10 PP.
Letter,III,To be delivered toSteven Stone.
Lettuce,IX,An ingredient forsandwiches.
Level Ball,II,A type of Poké Ball that works better on Pokémon with a lower level than theplayer's.
Liberty Pass,V,Gives access toLiberty Garden.
Lickitung Candy,VII,Increase all stats of a member of theLickitungfamily by oneAVpoint.
Liechi Berry,III,RaisesAttackwhen HP is below ⅓ of maximum.
Life Orb,IV,"Raises the power of moves, but causes recoil damage."
Lift Key,I,Allows operation of the elevator (lift) in theTeam Rocket Hideout.
Light Ball,II,Raises theAttackandSpecial AttackofPikachu.
Light Clay,IV,Extends the duration of the movesReflectandLight Screen.
Light Stone,V,Stone used to reviveReshiram
Like Mail,V,Stationary designed for writing recommendations. To be held by a Pokémon for delivery.
Lilac Chairs,IX,One of the chair sets the player can use during apicnic.
Lilac Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Linking Cord,VIII,Can be used to trigger evolution in Pokémon who would otherwise require trading to evolve.
Litebluemail,II,Mail with aDratinipattern. To be held by a Pokémon for delivery.
Loaded Dice,IX,Causesmulti-strike movesto always hit at least four times.
Lock Capsule,IV,Not available without cheating. Can be relocated to Black or White to obtainTM95(Snarl).
Lone Earring,VII,Can be sold for$300.
Lonely Mint,VIII,Changes a Pokémon'sNatureto Lonely.
Looker Ticket,VI,Must find five to advance the plot of theLookerpost-game quest.
Loot Sack,IV,Unobtainable without cheating. Original purpose was to store items found in theUnderground.
Lopunnite,VI,AllowsLopunnytoMega Evolveinto Mega Lopunny.
Lost Item,II,Return toCopycatfor access toMagnet Train.
Lost Satchel,VIII,"The dropped items from another player or NPC. When picked up, the player is awardedMerit Pointsand the items are returned to the player who lost them."
Love Ball,II,A type of Poké Ball that works better on Pokémon of the opposite gender.
Love Sweet,VIII,WhenMilceryevolves holding this theAlcremiewill have the Love Sweet decoration.
Lovely Mail,II,Mail with a heart design. To be held by a Pokémon for delivery.
Lucarionite,VI,AllowsLucariotoMega Evolveinto Mega Lucario.
Luck Incense,IV,Causes earnings to double in battles against other Trainers. AChanseyorBlisseyholding it can breed to produce aHappiny.
Lucky Egg,II,Doubles the experience gained during battle.
Lucky Punch,III,RaisesChansey'scritical hitrate.
Lugia Treat,IX,Allows theplayerto encounterLugiain theTerarium.
Lum Berry,III,Cures anystatus condition.
Luminous Moss,VI,Raises the holder'sSpecial Defenseby one stage after being hit by aWater-typeattack. Consumed after use.
Lumiose Galette,VI,Cures anystatus condition.
Lunala Treat,IX,Allows theplayerto encounterLunalain theTerarium.
Lunalium Z,VII,AllowsLunalaandDawn WingsNecrozmato upgradeMoongeist Beamto the specialZ-MoveMenacing Moonraze Maelstrom.
Lunar Feather,IV,Cures anendless nightmareDPPtBDSPor summonCresseliaB2W2.Note:CalledLunar Wingprior toPokémon Brilliant Diamond and Shining Pearl.
Lure,VII,Increases encounter rate of rarerwild Pokémonfor 100 steps.
Lure Ball,II,A type of Poké Ball that works best on Pokémon caught using a rod.
Lustrous Globe,VIII,SwitchesPalkiabetween itsnormal form and Origin Forme.
Lustrous Orb,IV,BoostsPalkia'sWater- andDragon-typeattacks.
Luxury Ball,III,A Pokémon caught in a Luxury Ball will gain friendship more quickly.
Lycanium Z,VII,AllowsLycanrocto upgradeStone Edgeto the specialZ-MoveSplintered Stormshards.
Mach Bike,III,"A speedy bike that can even go up muddy slopes. It is harder to control than the Acro Bike, and cannot do tricks."
Machine Part,II,The missing part from thePower Plant.
Machine Part,III,A part required for thePurify Chamberto operate properly.
Macho Brace,II,RaisesEffort valuesbut lowersSpeed.
Machop Candy,VII,Increase all stats of a member of theMachopfamily by oneAVpoint.
Magical Heart Pick,IX,One of the picks the player can use to make asandwich.
Magical Star Pick,IX,One of the picks the player can use to make asandwich.
Magikarp Candy,VII,Increase all stats of a member of theMagikarpfamily by oneAVpoint.
Magma Emblem,III,Allows entrance into theTeam Magma Hideout.
Magma Stone,V,Allows the player to battleHeatran.
Magma Suit,VI,Allows the player to rideGroudonin theCave of Originand fly into space onRayquaza.
Magmar Candy,VII,Increase all stats of a member of theMagmarfamily by oneAVpoint.
Magmarizer,IV,A held item that allowsMagmarto evolve when traded.
Magnemite Candy,VII,Increase all stats of a member of theMagnemitefamily by oneAVpoint.
Magnet,II,Raises the power ofElectric-typemoves.
Mago Berry,III,"WhenHPfalls below 25%, restores 50% HP, but confuses Pokémon that dislikespicyfood (12.5% when below 50% beforeGen. VII)."
Magost Berry,III,PokéblockandPoffiningredient.
Maingate Key,III,Opens the front gate to theShadow PKMN Lab.
Makeup Bag,VII,A case for carrying lipsticks.
Malicious Armor,IX,Used to evolveCharcadetintoCeruledge.
Manectite,VI,AllowsManectrictoMega Evolveinto Mega Manectric.
Mankey Candy,VII,Increase all stats of a member of theMankeyfamily by oneAVpoint.
Maranga Berry,VI,IncreasesSpecial Defensewhen hit by aspecial move.
Marble,VII,Can be sold for$150.
Marill Ball,IX,One of the balls the player and their Pokémon can play with during apicnic.
Mark Charm,VIII,Increases the chances of meetingwild Pokémonwithmarks.
Marmalade,IX,An ingredient forsandwiches.
Marshadium Z,VII,AllowsMarshadowto upgradeSpectral Thiefto the specialZ-MoveSoul-Stealing 7-Star Strike.
Marsh Balm,VIII,Can be used to calm frenziedHisuianLilligantand during Azelf's trial.
Master Ball,I,"A rare type of Poké Ball that catches any wild Pokémon without fail. Generally available only once in the game, though it may be obtained again in very unlikely situations (such as winning the lottery), cheating, or on theGTSinGeneration IV."
Masterpiece Teacup,IX,Used to evolveArtisan FormPoltchageistintoMasterpiece FormSinistcha.
Mawilite,VI,AllowsMawiletoMega Evolveinto Mega Mawile.
Max Elixir,I,Restores all of a Pokémon'sPP.
Max Ether,I,Restores all the PP of a single move.
Max Lure,VII,Increases encounter rate of rarerwild Pokémonfor 250 steps.
Max Honey,VIII,Revives a Pokémon and restores all of itsHPor can be added toMax Soupto give or removeUrshifu'sGigantamax Factor.
Max Mushrooms,VIII,Adds a boost to all of a Pokémons stats in a battle or can be exchanged forMax Soup.
Max Potion,I,Restores all of a Pokémon'sHP.
Max Repel,I,Preventswild Pokémonwith a lowerlevelthan the first member of thepartyfrom appearing for 250 steps
Max Revive,I,Revives a Pokémon to full health.
Mayonnaise,IX,An ingredient forsandwiches.
Mayor's Note,III,A letter fromthe MayortoJusty.
Meadow Plate,IV,Raises the power ofGrass-typemoves. Changes the moveJudgmenttoGrass-type.
Mech Mail,III,Mail with a mechanical pattern. To be held by a Pokémon for delivery.
